Time,E1,E2,E3,E4,E5,E6,E7
0.7533,18,-1,-8.3,-7.8,-4.1,-19,-6.5
0.7567,19.1,3.6,-3.5,-7,1.7,-14.7,-2.5
0.76,16.8,2.9,-3.3,-9.5,2.9,-16,-3.8
0.7633,10.5,-2,-7.4,-14.2,0.4,-20.7,-8.9
0.7667,2.5,-7.4,-12.6,-18.3,-2.1,-23.5,-13.6
0.77,-2.8,-9,-14.5,-19.5,-1.8,-21.5,-14.2
0.7733,-2.1,-5.6,-11.2,-17.3,0.7,-16.5,-10.5
0.7767,4.2,0.8,-4.8,-13.5,2.4,-12.7,-5.1
0.78,12.3,6,0.5,-10.6,1.9,-11.6,-1
0.7833,17.8,7.4,1.5,-10.7,0.6,-10.6,1.1
0.7867,18.7,5.1,-1.3,-13.4,1.2,-5.6,2.5
0.79,16.3,1.7,-3.9,-16.4,4.5,3.4,4.1
0.7933,13,0.1,-2.1,-16.8,7.5,11.1,5.1
0.7967,10.6,1.2,4.3,-13.3,6.4,10.7,3.8
0.8,8.7,3.6,11.6,-7.3,0.5,0.9,0.2
0.8033,6,5,13.6,-2.7,-6.1,-11.8,-3.7
0.8067,1.9,3.9,6.9,-3.1,-7.9,-18.4,-5.1
0.81,-2.6,0,-7.2,-9.5,-3.4,-14.7,-3.5
0.8133,-5.8,-5.6,-22.8,-19.6,2.9,-6.1,-1.7
0.8167,-6.6,-11.2,-33.8,-28.9,4.1,-2.3,-3.7
0.82,-5.5,-15.5,-36.6,-33.8,-3,-9.4,-10.4
0.8233,-3.7,-17.2,-32.1,-32.9,-14.6,-24,-18.4
0.8267,-2.4,-15.9,-24,-27.6,-22.5,-36.1,-22
0.83,-1.9,-12.2,-16.3,-20.8,-21.3,-38.2,-18.8
0.8333,-1.6,-8.2,-11.6,-15.3,-12.8,-30.9,-11.4
0.8367,-1.3,-6,-10.6,-12.8,-4.2,-22.4,-6.4
0.84,-0.6,-6.6,-12.5,-13.5,-2.4,-20.2,-8.3
0.8433,0.2,-9,-15.9,-16.3,-7.7,-25.3,-15.8
0.8467,0.7,-11,-18.7,-19.5,-14.3,-31.3,-22.7
0.85,0.5,-10.6,-19.4,-21.4,-15.6,-31.3,-23.3
0.8533,-1.1,-8.3,-18,-21.5,-9.9,-23.8,-17
0.8567,-4.3,-6.6,-15.9,-20.1,-1.8,-14.2,-8.9
0.86,-8.3,-7.9,-15.3,-18,2,-9.5,-5.6
0.8633,-11.6,-12.6,-17.5,-16.2,-1.6,-13.2,-9.8
0.8667,-12.6,-18.5,-21.6,-15,-10.1,-22.2,-18.6
0.87,-10.7,-22.6,-25.1,-14,-17.9,-30.7,-26.5
0.8733,-7.3,-23.2,-26,-12.6,-20.1,-34.5,-29.4
0.8767,-4.2,-21,-24.3,-10.9,-16.5,-33.3,-27.5
0.88,-2.8,-18.2,-21.7,-9.8,-10.2,-29.8,-23.8
0.8833,-2.3,-16,-20.1,-9.8,-5.2,-26.3,-20.8
0.8867,-1.2,-14.2,-19.3,-10.7,-3.5,-23.4,-18.7
0.89,1.6,-11.6,-17.3,-10.9,-4.6,-20.6,-16.6
0.8933,5,-7.8,-12.9,-8.9,-6.7,-18.2,-13.9
0.8967,7,-4.4,-7,-4.7,-8.1,-17.2,-11.8
0.9,6.1,-3.7,-2.8,-0.6,-7.5,-18.3,-11.8
0.9033,2.9,-6.5,-3.4,0.5,-4.9,-20.3,-13.9
0.9067,-0.1,-11.1,-8.8,-2.3,-0.9,-20.8,-15.7
0.91,-0.8,-14.2,-15.4,-7.1,3,-17.8,-14.1
0.9133,0.8,-13.3,-18.9,-10.4,5.1,-12,-8.6
0.9167,2.8,-9.2,-17.4,-9.9,4.6,-6.4,-1.7
0.92,2.6,-5,-13.3,-6.4,1.9,-4.6,2.2
0.9233,-0.9,-4.3,-10.8,-3.1,-1.2,-7.9,0.2
0.9267,-6.4,-8,-12.5,-2.6,-3.4,-14,-6.9
0.93,-11.8,-14,-17.2,-5.2,-4.3,-19.2,-15.2
0.9333,-15.3,-18.6,-21.2,-8.6,-5.1,-21.1,-20.6
0.9367,-17,-19.8,-21.2,-10.2,-7.2,-19.9,-21.6
0.94,-17.9,-18.2,-17.4,-9.2,-10.9,-18.5,-19.7
0.9433,-19,-16.4,-13.3,-6.7,-14.5,-19.1,-17.9
0.9467,-19.7,-16.8,-12.6,-4.7,-15.9,-21.5,-17.8
0.95,-18.7,-19.1,-16.2,-4.2,-13.9,-23.4,-19.1
0.9533,-14.7,-21.3,-21.4,-4.7,-9.3,-22.8,-19.7
0.9567,-8.2,-21.1,-24.1,-5.2,-4.6,-19.8,-18.3
0.96,-1.5,-18,-22,-4.7,-2,-16.8,-15
0.9633,2.5,-13.6,-16.3,-3.7,-2.2,-16.1,-10.9
0.9667,2.4,-10,-10.4,-2.9,-3.7,-17.3,-7
0.97,-1,-8.1,-7,-2.4,-4.7,-17.9,-3.2
0.9733,-4.5,-7.2,-6.4,-1.6,-4.5,-15.8,0.7
0.9767,-5.1,-6.2,-6.9,0.4,-4.2,-11.5,4.3
0.98,-2.3,-5,-6.7,3.5,-5.5,-8.5,6
0.9833,1.9,-4.6,-6.2,6.2,-8.8,-10.1,4.8
0.9867,4.3,-6.3,-7,6.7,-12.6,-16.2,1.1
0.99,3.4,-9.5,-10.4,4.5,-14.4,-22.7,-3
0.9933,0.2,-12.4,-15.4,1.3,-12.8,-24.9,-4.8
0.9967,-2.7,-12.9,-19,-0.5,-8.7,-21.2,-3.4
1,-3.4,-10.7,-18.5,0.7,-5.1,-14.8,-0.5
1.0033,-2.6,-7.4,-13.8,4.2,-4.9,-11,1.3
1.0067,-2.4,-5.4,-7.6,7.6,-8.4,-12.8,0.7
1.01,-4.3,-5.6,-3.5,9,-13.3,-18.1,-1.2
1.0133,-7.1,-7.2,-3.5,8,-16.5,-22.1,-1.8
1.0167,-8,-8.1,-6.4,6.1,-16.4,-21.4,0.6
1.02,-4.6,-7.2,-9.1,5.5,-14,-16.8,4.9
1.0233,1.9,-5.2,-9.1,6.9,-12.1,-13,8.1
1.0267,8,-4.2,-6.4,9.6,-13,-14.1,7.6
1.03,10.1,-5.5,-3.6,11.9,-16.8,-20.3,2.9
1.0333,7.6,-9,-3.3,12.6,-21.5,-27.9,-3.4
1.0367,2.9,-13,-6.5,11.7,-24.6,-32.3,-8
1.04,-0.8,-15.7,-11.8,10.3,-24.6,-31.4,-9
1.0433,-2.1,-16.7,-16.6,9.3,-21.7,-26.9,-6.9
1.0467,-2,-16.5,-18.9,8.7,-17.2,-22.3,-4
